x, y, z, T
0.015748,0.228346,0.0254525,0.0254525
0.015748,0.23622,0.0261663,0.0261663
0.015748,0.244094,0.0268641,0.0268641
0.015748,0.251969,0.0275455,0.0275455
0.015748,0.259843,0.02821,0.02821
0.015748,0.267717,0.0288573,0.0288573
0.015748,0.275591,0.0294869,0.0294869
0.015748,0.283465,0.0300984,0.0300984
0.015748,0.291339,0.0306915,0.0306915
0.015748,0.299213,0.0312659,0.0312659
0.015748,0.307087,0.0318211,0.0318211
0.015748,0.314961,0.0323568,0.0323568
0.015748,0.322835,0.0328728,0.0328728
0.015748,0.330709,0.0333686,0.0333686
0.015748,0.338583,0.033844,0.033844
0.015748,0.346457,0.0342987,0.0342987
0.015748,0.354331,0.0347324,0.0347324
0.015748,0.362205,0.0351449,0.0351449
0.015748,0.370079,0.0355358,0.0355358
0.015748,0.377953,0.035905,0.035905
0.015748,0.385827,0.0362522,0.0362522
0.015748,0.393701,0.0365772,0.0365772
0.015748,0.401575,0.0368799,0.0368799
0.015748,0.409449,0.0371599,0.0371599
0.015748,0.417323,0.0374173,0.0374173
0.015748,0.425197,0.0376517,0.0376517
0.015748,0.433071,0.0378631,0.0378631
0.015748,0.440945,0.0380513,0.0380513
0.015748,0.448819,0.0382162,0.0382162
0.015748,0.456693,0.0383577,0.0383577
0.015748,0.464567,0.0384757,0.0384757
0.015748,0.472441,0.0385702,0.0385702
0.015748,0.480315,0.0386411,0.0386411
0.015748,0.488189,0.0386883,0.0386883
0.015748,0.496063,0.0387119,0.0387119
0.015748,0.503937,0.0387117,0.0387117
0.015748,0.511811,0.0386878,0.0386878
0.015748,0.519685,0.0386403,0.0386403
0.015748,0.527559,0.0385691,0.0385691
0.015748,0.535433,0.0384743,0.0384743
0.015748,0.543307,0.0383559,0.0383559
0.015748,0.551181,0.0382141,0.0382141
0.015748,0.559055,0.0380488,0.0380488
0.015748,0.566929,0.0378603,0.0378603
0.015748,0.574803,0.0376486,0.0376486
0.015748,0.582677,0.0374138,0.0374138
0.015748,0.590551,0.0371561,0.0371561
0.015748,0.598425,0.0368757,0.0368757
0.015748,0.606299,0.0365728,0.0365728
0.015748,0.614173,0.0362476,0.0362476
0.015748,0.622047,0.0359003,0.0359003
0.015748,0.629921,0.0355311,0.0355311
0.015748,0.637795,0.0351401,0.0351401
0.015748,0.645669,0.0347278,0.0347278
0.015748,0.653543,0.0342943,0.0342943
0.015748,0.661417,0.0338399,0.0338399
0.015748,0.669291,0.0333647,0.0333647
0.015748,0.677165,0.0328691,0.0328691
0.015748,0.685039,0.0323534,0.0323534
0.015748,0.692913,0.0318179,0.0318179
0.015748,0.700787,0.0312629,0.0312629
0.015748,0.708661,0.0306887,0.0306887
0.015748,0.716535,0.0300958,0.0300958
0.015748,0.724409,0.0294844,0.0294844
0.015748,0.732283,0.028855,0.028855
0.015748,0.740157,0.0282079,0.0282079
0.015748,0.748031,0.0275435,0.0275435
0.015748,0.755906,0.0268623,0.0268623
0.015748,0.76378,0.0261646,0.0261646
0.015748,0.771654,0.0254509,0.0254509
0.015748,0.779528,0.0247217,0.0247217
0.015748,0.787402,0.0239772,0.0239772
0.015748,0.795276,0.0232181,0.0232181
0.015748,0.80315,0.0224448,0.0224448
0.015748,0.811024,0.0216577,0.0216577
0.015748,0.818898,0.0208574,0.0208574
0.015748,0.826772,0.0200443,0.0200443
0.015748,0.834646,0.019219,0.019219
0.015748,0.84252,0.0183819,0.0183819
0.015748,0.850394,0.0175335,0.0175335
0.015748,0.858268,0.0166744,0.0166744
0.015748,0.866142,0.0158051,0.0158051
0.015748,0.874016,0.0149261,0.0149261
0.015748,0.88189,0.014038,0.014038
0.015748,0.889764,0.0131413,0.0131413
0.015748,0.897638,0.0122365,0.0122365
0.015748,0.905512,0.0113243,0.0113243
0.015748,0.913386,0.0104051,0.0104051
0.015748,0.92126,0.00947958,0.00947958
0.015748,0.929134,0.00854824,0.00854824
0.015748,0.937008,0.00761166,0.00761166
0.015748,0.944882,0.00667043,0.00667043
0.015748,0.952756,0.00572511,0.00572511
